DOClass,Disease,DiseaseClass,EvidenceIndexGDA,EvidenceLevelGDA,FirstRef,Gene,GeneDPI,GeneDSI,GeneFullName,GenePLI,HPOClass,LastRef,NumDiseasesAssociatedToGene,NumGenesDisease,NumPMIDs,NumVariantsAssociatedToGene,NumVariantsDisease,NumVariantsGDA,PathwayIDs,PathwayNames,ProteinClass,ScoreGDA,SemanticType,Type,UnitProt,diseaseUMLSCUI,geneEnsemblIDs,geneNcbiID,geneNcbiType,numCTs,numberChemsIncludedInEvidence,numberPmidsWithChemsIncludedInEvidence
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.875,,2016.0,TLR4,0.96,0.32,toll like receptor 4,0.00040578,Abnormality of the cardiovascular system (01626),2020.0,87,301,2,4,371,0,"R-HSA-1643685,R-HSA-168256,R-HSA-5357801,R-HSA-8953897","Disease,Immune System,Programmed Cell Death,Cellular responses to stimuli",,0.75,Disease or Syndrome (T047),disease,O00206,C0020538,ENSG00000136869,7099,protein-coding,0,2,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9166666666666666,,2008.0,NEDD4L,0.87,0.5,NEDD4 like E3 ubiquitin protein ligase,0.99878,Abnormality of the cardiovascular system (01626),2013.0,11,301,2,78,371,0,"R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-382551,R-HSA-74160","Signal Transduction,Disease,Immune System,Transport of small molecules,Gene expression (Transcription)",Enzyme,0.75,Disease or Syndrome (T047),disease,"Q96PU5,B7Z2P9,B7Z6K0",C0020538,ENSG00000049759,23327,protein-coding,0,2,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8666666666666667,,2012.0,STK39,0.78,0.6,serine/threonine kinase 39,0.99999,Abnormality of the cardiovascular system (01626),2012.0,4,301,1,12,371,0,,,Kinase,0.75,Disease or Syndrome (T047),disease,Q9UEW8,C0020538,ENSG00000198648,27347,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2011.0,TACR1,0.91,0.45,tachykinin receptor 1,4.0199e-06,Abnormality of the cardiovascular system (01626),2011.0,16,301,1,1,371,0,"R-HSA-162582,R-HSA-5653656","Signal Transduction,Vesicle-mediated transport",G-protein coupled receptor,0.75,Disease or Syndrome (T047),disease,P25103,C0020538,ENSG00000115353,6869,protein-coding,1,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,1991.0,CAV1,0.91,0.38,caveolin 1,0.01393,Abnormality of the cardiovascular system (01626),1991.0,44,301,1,31,371,0,"R-HSA-109582,R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-74160","Hemostasis,Metabolism,Signal Transduction,Disease,Gene expression (Transcription)",Enzyme modulator,0.75,Disease or Syndrome (T047),disease,"Q2TNI1,Q7Z4F3,Q59E85,A9XTE5,Q03135",C0020538,ENSG00000105974,857,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.875,,2011.0,AHR,0.96,0.38,aryl hydrocarbon receptor,0.0077533,Abnormality of the cardiovascular system (01626),2011.0,74,301,1,1,371,0,R-HSA-1430728,Metabolism,Transcription factor,0.75,Disease or Syndrome (T047),disease,P35869,C0020538,ENSG00000106546,196,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9,,2001.0,DRD2,0.96,0.4,dopamine receptor D2,0.99986,Abnormality of the cardiovascular system (01626),2001.0,55,301,1,30,371,0,R-HSA-162582,Signal Transduction,G-protein coupled receptor,0.75,Disease or Syndrome (T047),disease,P14416,C0020538,ENSG00000149295,1813,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9444444444444444,,2018.0,FGF21,0.96,0.43,fibroblast growth factor 21,1.5619e-05,Abnormality of the cardiovascular system (01626),2018.0,13,301,1,1,371,0,R-HSA-382551,Transport of small molecules,Signaling,0.75,Disease or Syndrome (T047),disease,"Q9NSA1,A0A7U3L5M7",C0020538,ENSG00000105550,26291,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2000.0,ADRA2A,0.91,0.51,adrenoceptor alpha 2A,0.0045157,Abnormality of the cardiovascular system (01626),2000.0,20,301,1,0,371,0,"R-HSA-109582,R-HSA-1430728,R-HSA-162582,R-HSA-392499","Hemostasis,Metabolism,Signal Transduction,Metabolism of proteins",G-protein coupled receptor,0.75,Disease or Syndrome (T047),disease,P08913,C0020538,ENSG00000150594,150,protein-coding,0,2,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2012.0,CACNA1C,0.96,0.41,calcium voltage-gated channel subunit alpha1 C,1.0,Abnormality of the cardiovascular system (01626),2012.0,67,301,1,668,371,0,"R-HSA-1266738,R-HSA-1430728,R-HSA-397014","Developmental Biology,Metabolism,Muscle contraction",Ion channel,0.75,Disease or Syndrome (T047),disease,"A0A804HJB6,Q5V9X9,A0A0A0MSA1,Q59GU3,Q13936,A0A804HKC4,A0A804HI37,A0A0A0MR67,F5H522,A0A804HIJ8,E9PDI6",C0020538,ENSG00000151067,775,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9230769230769232,,2012.0,KCNJ1,0.83,0.56,potassium inwardly rectifying channel subfamily J member 1,3.2031e-09,Abnormality of the cardiovascular system (01626),2012.0,9,301,1,64,371,0,R-HSA-112316,Neuronal System,Ion channel,0.75,Disease or Syndrome (T047),disease,"A8K432,P48048",C0020538,ENSG00000151704,3758,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,1984.0,PLG,0.91,0.38,plasminogen,0.16223,Abnormality of the cardiovascular system (01626),1984.0,26,301,1,51,371,0,"R-HSA-109582,R-HSA-1474244,R-HSA-162582,R-HSA-392499","Hemostasis,Extracellular matrix organization,Signal Transduction,Metabolism of proteins",Enzyme,0.75,Disease or Syndrome (T047),disease,"Q5TEH5,P00747",C0020538,ENSG00000122194,5340,protein-coding,2,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,ABO,0.96,0.4,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",,Abnormality of the cardiovascular system (01626),,36,301,0,55,371,0,R-HSA-1430728,Metabolism,Enzyme,0.75,Disease or Syndrome (T047),disease,"P16442,A0A089QDC1",C0020538,ENSG00000175164,28,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,GATA5,0.78,0.53,GATA binding protein 5,3.5589e-11,Abnormality of the cardiovascular system (01626),,32,301,0,21,371,0,R-HSA-109582,Hemostasis,,0.75,Disease or Syndrome (T047),disease,Q9BWX5,C0020538,ENSG00000130700,140628,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,CD14,0.96,0.38,CD14 molecule,0.0029347,Abnormality of the cardiovascular system (01626),,24,301,0,0,371,0,"R-HSA-1643685,R-HSA-168256,R-HSA-5357801","Disease,Immune System,Programmed Cell Death",,0.75,Disease or Syndrome (T047),disease,P08571,C0020538,ENSG00000170458,929,protein-coding,1,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,LOX,0.87,0.42,lysyl oxidase,0.97953,Abnormality of the cardiovascular system (01626),,32,301,0,37,371,0,R-HSA-1474244,Extracellular matrix organization,,0.75,Disease or Syndrome (T047),disease,"P28300,D0PNI2,B0AZT2,B7ZAJ4",C0020538,ENSG00000113083,4015,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,MYH9,0.83,0.47,myosin heavy chain 9,1.0,Abnormality of the cardiovascular system (01626),,43,301,0,269,371,1,"R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-5653656,R-HSA-9709957","Developmental Biology,Signal Transduction,Disease,Immune System,Vesicle-mediated transport,Sensory Perception",,0.75,Disease or Syndrome (T047),disease,P35579,C0020538,ENSG00000100345,4627,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.75,,,VHL,0.87,0.43,von Hippel-Lindau tumor suppressor,0.0019414,Abnormality of the cardiovascular system (01626),,55,301,0,822,371,0,"R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-392499,R-HSA-8953897","Signal Transduction,Disease,Immune System,Metabolism of proteins,Cellular responses to stimuli",Enzyme,0.75,Disease or Syndrome (T047),disease,"P40337,A0A024R2F2,A0A0S2Z4K1",C0020538,ENSG00000134086,7428,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.7777777777777778,,,PON1,1.0,0.41,paraoxonase 1,8.2563e-12,Abnormality of the cardiovascular system (01626),,95,301,0,5,371,0,"R-HSA-1430728,R-HSA-9748784","Metabolism,Drug ADME",,0.75,Disease or Syndrome (T047),disease,P27169,C0020538,ENSG00000005421,5444,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.9666666666666668,,,CYP4A11,0.48,0.66,cytochrome P450 family 4 subfamily A member 11,2.8465e-16,Abnormality of the cardiovascular system (01626),,1,301,0,0,371,0,R-HSA-1430728,Metabolism,Enzyme,0.75,Disease or Syndrome (T047),disease,Q02928,C0020538,ENSG00000187048,1579,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2020.0,HMGB1,0.96,0.36,high mobility group box 1,0.99972,Abnormality of the cardiovascular system (01626),2020.0,21,301,1,9,371,0,"R-HSA-1643685,R-HSA-168256,R-HSA-5357801","Disease,Immune System,Programmed Cell Death",Nucleic acid binding,0.7,Disease or Syndrome (T047),disease,P09429,C0020538,ENSG00000189403,3146,protein-coding,2,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8571428571428571,,,CYP2C9,0.96,0.47,cytochrome P450 family 2 subfamily C member 9,1.1489e-20,Abnormality of the cardiovascular system (01626),,14,301,0,4,371,0,"R-HSA-1430728,R-HSA-9748784","Metabolism,Drug ADME",,0.7,Disease or Syndrome (T047),disease,"S5RV20,P11712",C0020538,ENSG00000138109,1559,protein-coding,1,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8461538461538461,,2006.0,CYBB,0.91,0.45,cytochrome b-245 beta chain,,Abnormality of the cardiovascular system (01626),2020.0,18,301,6,196,371,0,"R-HSA-162582,R-HSA-168256,R-HSA-8953897","Signal Transduction,Immune System,Cellular responses to stimuli",Ion channel,0.7,Disease or Syndrome (T047),disease,"A0A0S2Z3S6,P04839",C0020538,ENSG00000165168,1536,protein-coding,0,2,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,1997.0,OXT,0.96,0.41,oxytocin/neurophysin I prepropeptide,1.9937e-06,Abnormality of the cardiovascular system (01626),2008.0,37,301,2,1,371,0,R-HSA-162582,Signal Transduction,Signaling,0.7,Disease or Syndrome (T047),disease,"P01178,X5D7M6",C0020538,ENSG00000101405,5020,protein-coding,0,1,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.75,,2010.0,CYP1A1,0.96,0.4,cytochrome P450 family 1 subfamily A member 1,8.9759e-18,Abnormality of the cardiovascular system (01626),2012.0,91,301,2,2,371,0,R-HSA-1430728,Metabolism,Enzyme,0.7,Disease or Syndrome (T047),disease,"P04798,A0N0X8,E7EMT5",C0020538,ENSG00000140465,1543,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2006.0,GJA1,0.96,0.38,gap junction protein alpha 1,0.96349,Abnormality of the cardiovascular system (01626),2023.0,50,301,2,145,371,0,"R-HSA-162582,R-HSA-1643685,R-HSA-5653656","Signal Transduction,Disease,Vesicle-mediated transport",Cell-cell junction,0.7,Disease or Syndrome (T047),disease,"P17302,A0A654IBU3",C0020538,ENSG00000152661,2697,protein-coding,0,2,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8,,2012.0,SLC6A2,0.96,0.51,solute carrier family 6 member 2,0.89793,Abnormality of the cardiovascular system (01626),2012.0,14,301,1,10,371,0,"R-HSA-1643685,R-HSA-382551","Disease,Transport of small molecules",Transporter,0.7,Disease or Syndrome (T047),disease,P23975,C0020538,ENSG00000103546,6530,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8,,2011.0,GPX1,0.91,0.42,glutathione peroxidase 1,0.0019011,Abnormality of the cardiovascular system (01626),2011.0,76,301,1,1,371,0,"R-HSA-1430728,R-HSA-8953897","Metabolism,Cellular responses to stimuli",Enzyme,0.7,Disease or Syndrome (T047),disease,"Q7L4Q3,P07203,A0A2R8Y6B6",C0020538,ENSG00000233276,2876,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2008.0,CLCNKA,0.61,0.59,chloride voltage-gated channel Ka,1.2127e-17,Abnormality of the cardiovascular system (01626),2008.0,8,301,1,12,371,0,R-HSA-382551,Transport of small molecules,Ion channel,0.7,Disease or Syndrome (T047),disease,P51800,C0020538,ENSG00000186510,1187,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.7142857142857143,,2009.0,GJA5,0.83,0.51,gap junction protein alpha 5,0.50173,Abnormality of the cardiovascular system (01626),2009.0,25,301,1,105,371,0,R-HSA-5653656,Vesicle-mediated transport,Cell-cell junction,0.7,Disease or Syndrome (T047),disease,"P36382,X5D2H9",C0020538,ENSG00000265107,2702,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2013.0,JUN,0.96,0.36,"Jun proto-oncogene, AP-1 transcription factor subunit",0.46638,Abnormality of the cardiovascular system (01626),2013.0,30,301,1,0,371,0,"R-HSA-1266738,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-74160,R-HSA-8953897","Developmental Biology,Signal Transduction,Disease,Immune System,Gene expression (Transcription),Cellular responses to stimuli",Transcription factor,0.7,Disease or Syndrome (T047),disease,P05412,C0020538,ENSG00000177606,3725,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2010.0,UCN,0.78,0.54,urocortin,0.010134,Abnormality of the cardiovascular system (01626),2010.0,7,301,1,17,371,0,"R-HSA-162582,R-HSA-392499","Signal Transduction,Metabolism of proteins",Signaling,0.7,Disease or Syndrome (T047),disease,P55089,C0020538,ENSG00000163794,7349,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2004.0,INPPL1,0.83,0.56,inositol polyphosphate phosphatase like 1,8.0654e-19,Abnormality of the cardiovascular system (01626),2004.0,6,301,1,32,371,0,"R-HSA-1430728,R-HSA-168256","Metabolism,Immune System",,0.7,Disease or Syndrome (T047),disease,O15357,C0020538,ENSG00000165458,3636,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2000.0,GAL,0.96,0.44,galanin and GMAP prepropeptide,0.013691,Abnormality of the cardiovascular system (01626),2000.0,18,301,1,32,371,0,R-HSA-162582,Signal Transduction,,0.7,Disease or Syndrome (T047),disease,P22466,C0020538,ENSG00000069482,51083,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2013.0,PRKCD,0.91,0.45,protein kinase C delta,1.0,Abnormality of the cardiovascular system (01626),2013.0,14,301,1,147,371,0,"R-HSA-109582,R-HSA-162582,R-HSA-168256,R-HSA-5357801,R-HSA-8953854,R-HSA-8953897","Hemostasis,Signal Transduction,Immune System,Programmed Cell Death,Metabolism of RNA,Cellular responses to stimuli",Kinase,0.7,Disease or Syndrome (T047),disease,"B4DFV1,Q05655",C0020538,ENSG00000163932,5580,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8888888888888888,,2007.0,KCNMB1,0.35,0.73,potassium calcium-activated channel subfamily M regulatory beta subunit 1,5.0452e-08,Abnormality of the cardiovascular system (01626),2007.0,3,301,1,2,371,0,"R-HSA-109582,R-HSA-112316,R-HSA-9709957","Hemostasis,Neuronal System,Sensory Perception",Ion channel,0.7,Disease or Syndrome (T047),disease,Q16558,C0020538,ENSG00000145936,3779,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2008.0,CBS,0.96,0.43,cystathionine beta-synthase,,Abnormality of the cardiovascular system (01626),2008.0,30,301,1,375,371,0,R-HSA-1430728,Metabolism,Enzyme,0.7,Disease or Syndrome (T047),disease,"Q9NTF0,B7Z2D6,P35520",C0020538,ENSG00000160200,875,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2007.0,SLC12A2,0.87,0.52,solute carrier family 12 member 2,0.0038975,Abnormality of the cardiovascular system (01626),2007.0,22,301,1,33,371,0,R-HSA-382551,Transport of small molecules,Transporter,0.7,Disease or Syndrome (T047),disease,"Q53ZR1,B7ZM24,P55011",C0020538,ENSG00000064651,6558,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2012.0,NHERF2,0.91,0.44,NHERF family PDZ scaffold protein 2,2.9956e-13,Abnormality of the cardiovascular system (01626),2012.0,1,301,1,4,371,0,,,,0.7,Disease or Syndrome (T047),disease,Q15599,C0020538,ENSG00000065054,9351,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,1983.0,TRH,0.87,0.46,thyrotropin releasing hormone,0.0013787,Abnormality of the cardiovascular system (01626),1983.0,30,301,1,1,371,0,R-HSA-162582,Signal Transduction,,0.7,Disease or Syndrome (T047),disease,P20396,C0020538,ENSG00000170893,7200,protein-coding,0,2,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.75,,2008.0,GUCY1A1,0.7,0.61,guanylate cyclase 1 soluble subunit alpha 1,7.6507e-08,Abnormality of the cardiovascular system (01626),2008.0,18,301,1,25,371,1,"R-HSA-109582,R-HSA-397014","Hemostasis,Muscle contraction",,0.7,Disease or Syndrome (T047),disease,"B3KU69,Q02108",C0020538,ENSG00000164116,2982,protein-coding,0,1,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8,,,PKD2,0.87,0.5,"polycystin 2, transient receptor potential cation channel",0.00018492,Abnormality of the cardiovascular system (01626),,26,301,0,369,371,1,R-HSA-1852241,Organelle biogenesis and maintenance,Ion channel,0.7,Disease or Syndrome (T047),disease,"Q13563,Q9UEU6",C0020538,ENSG00000118762,5311,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.6,,,EDN2,0.65,0.62,endothelin 2,,Abnormality of the cardiovascular system (01626),,3,301,0,0,371,0,R-HSA-162582,Signal Transduction,Signaling,0.7,Disease or Syndrome (T047),disease,P20800,C0020538,ENSG00000127129,1907,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,CCR5,0.91,0.4,C-C motif chemokine receptor 5,0.18153,Abnormality of the cardiovascular system (01626),,49,301,0,7,371,0,"R-HSA-162582,R-HSA-1643685,R-HSA-168256","Signal Transduction,Disease,Immune System",G-protein coupled receptor,0.7,Disease or Syndrome (T047),disease,"P51681,Q38L21",C0020538,ENSG00000160791,1234,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.7,,,PNMT,0.78,0.61,phenylethanolamine N-methyltransferase,9.0249e-09,Abnormality of the cardiovascular system (01626),,3,301,0,41,371,0,R-HSA-1430728,Metabolism,Enzyme,0.7,Disease or Syndrome (T047),disease,"A8MT87,P11086",C0020538,ENSG00000141744,5409,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.7142857142857143,,,AVPR1A,0.78,0.58,arginine vasopressin receptor 1A,1.2533e-10,Abnormality of the cardiovascular system (01626),,5,301,0,0,371,0,"R-HSA-162582,R-HSA-1643685","Signal Transduction,Disease",G-protein coupled receptor,0.7,Disease or Syndrome (T047),disease,"X5D2B0,P37288",C0020538,ENSG00000166148,552,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,HTRA1,0.91,0.47,HtrA serine peptidase 1,0.00030454,Abnormality of the cardiovascular system (01626),,27,301,0,83,371,0,R-HSA-1474244,Extracellular matrix organization,Enzyme,0.7,Disease or Syndrome (T047),disease,Q92743,C0020538,ENSG00000166033,5654,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.6666666666666666,,,PTK2B,0.91,0.42,protein tyrosine kinase 2 beta,4.2332e-05,Abnormality of the cardiovascular system (01626),,8,301,0,14,371,0,"R-HSA-1500931,R-HSA-162582,R-HSA-168256","Cell-Cell communication,Signal Transduction,Immune System",Kinase,0.7,Disease or Syndrome (T047),disease,Q14289,C0020538,ENSG00000120899,2185,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8571428571428571,,,DDAH1,0.78,0.58,dimethylarginine dimethylaminohydrolase 1,0.00045963,Abnormality of the cardiovascular system (01626),,7,301,0,16,371,0,R-HSA-1430728,Metabolism,Enzyme,0.7,Disease or Syndrome (T047),disease,"B4E3V1,B2R644,O94760,B4DYP1,B4DGT0",C0020538,ENSG00000153904,23576,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.875,,,BDKRB1,0.87,0.55,bradykinin receptor B1,0.19031,Abnormality of the cardiovascular system (01626),,9,301,0,0,371,0,R-HSA-162582,Signal Transduction,G-protein coupled receptor,0.7,Disease or Syndrome (T047),disease,P46663,C0020538,ENSG00000100739,623,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.0,,,AGXT2,0.61,0.65,alanine--glyoxylate aminotransferase 2,1.3242e-18,Abnormality of the cardiovascular system (01626),,13,301,0,3,371,0,R-HSA-1430728,Metabolism,,0.7,Disease or Syndrome (T047),disease,Q9BYV1,C0020538,ENSG00000113492,64902,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,CACNB2,0.7,0.59,calcium voltage-gated channel auxiliary subunit beta 2,8.8065e-06,Abnormality of the cardiovascular system (01626),,19,301,0,276,371,2,"R-HSA-112316,R-HSA-1266738,R-HSA-1430728,R-HSA-397014,R-HSA-9709957","Neuronal System,Developmental Biology,Metabolism,Muscle contraction,Sensory Perception",Ion channel,0.7,Disease or Syndrome (T047),disease,"Q5VVH1,Q59H42,A0A494C184,Q08289",C0020538,ENSG00000165995,783,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.3333333333333333,,,IL1RN,0.96,0.35,interleukin 1 receptor antagonist,0.0055013,Abnormality of the cardiovascular system (01626),,131,301,0,96,371,0,R-HSA-168256,Immune System,,0.7,Disease or Syndrome (T047),disease,P18510,C0020538,ENSG00000136689,3557,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8333333333333334,,,ADRA1A,0.91,0.56,adrenoceptor alpha 1A,3.5799e-11,Abnormality of the cardiovascular system (01626),,15,301,0,1,371,0,R-HSA-162582,Signal Transduction,G-protein coupled receptor,0.7,Disease or Syndrome (T047),disease,"B0ZBD3,P35348",C0020538,ENSG00000120907,148,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.7142857142857143,,,UCP1,0.83,0.53,uncoupling protein 1,9.1495e-10,Abnormality of the cardiovascular system (01626),,6,301,0,0,371,0,"R-HSA-1266738,R-HSA-1430728","Developmental Biology,Metabolism",Transporter,0.7,Disease or Syndrome (T047),disease,"P25874,Q4KMT7",C0020538,ENSG00000109424,7350,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,CYP2J2,0.78,0.58,cytochrome P450 family 2 subfamily J member 2,4.4525e-12,Abnormality of the cardiovascular system (01626),,7,301,0,2,371,0,R-HSA-1430728,Metabolism,,0.7,Disease or Syndrome (T047),disease,P51589,C0020538,ENSG00000134716,1573,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,,MOV10,0.61,0.7,Mov10 RNA helicase,0.99994,Abnormality of the cardiovascular system (01626),,2,301,0,8,371,2,"R-HSA-1266738,R-HSA-1500931,R-HSA-162582,R-HSA-1643685,R-HSA-74160,R-HSA-8953897","Developmental Biology,Cell-Cell communication,Signal Transduction,Disease,Gene expression (Transcription),Cellular responses to stimuli",Enzyme,0.7,Disease or Syndrome (T047),disease,"Q5JR04,Q9HCE1",C0020538,ENSG00000155363,4343,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.8333333333333334,,,F11R,0.91,0.53,F11 receptor,1.855e-06,Abnormality of the cardiovascular system (01626),,1,301,0,0,371,0,"R-HSA-109582,R-HSA-1474244,R-HSA-1500931,R-HSA-162582","Hemostasis,Extracellular matrix organization,Cell-Cell communication,Signal Transduction",,0.7,Disease or Syndrome (T047),disease,"Q6FIB4,Q9Y624",C0020538,ENSG00000158769,50848,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.75,,,GPX3,0.91,0.45,glutathione peroxidase 3,1.0819e-08,Abnormality of the cardiovascular system (01626),,34,301,0,1,371,0,R-HSA-8953897,Cellular responses to stimuli,Enzyme,0.7,Disease or Syndrome (T047),disease,P22352,C0020538,ENSG00000211445,2878,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2016.0,IKBKB,0.91,0.46,inhibitor of nuclear factor kappa B kinase subunit beta,0.99571,Abnormality of the cardiovascular system (01626),2020.0,25,301,2,114,371,0,"R-HSA-162582,R-HSA-1643685,R-HSA-168256","Signal Transduction,Disease,Immune System",Kinase,0.65,Disease or Syndrome (T047),disease,O14920,C0020538,ENSG00000104365,3551,protein-coding,0,2,2
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,0.75,,2012.0,ALOX15,0.91,0.47,arachidonate 15-lipoxygenase,7.136699999999999e-21,Abnormality of the cardiovascular system (01626),2012.0,6,301,1,1,371,0,"R-HSA-1430728,R-HSA-168256","Metabolism,Immune System",Enzyme,0.65,Disease or Syndrome (T047),disease,P16050,C0020538,ENSG00000161905,246,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2020.0,FNDC5,0.91,0.43,fibronectin type III domain containing 5,0.11471,Abnormality of the cardiovascular system (01626),2020.0,5,301,1,0,371,0,,,,0.65,Disease or Syndrome (T047),disease,Q8NAU1,C0020538,ENSG00000160097,252995,protein-coding,0,0,0
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,2008.0,TGM2,0.91,0.42,transglutaminase 2,1.5051e-13,Abnormality of the cardiovascular system (01626),2008.0,18,301,1,0,371,0,,,Enzyme,0.65,Disease or Syndrome (T047),disease,"B4DIT7,P21980,V9HWG3,B4DTN7",C0020538,ENSG00000198959,7052,protein-coding,0,2,1
disease of anatomical entity (7),High blood pressure,Cardiovascular Diseases,1.0,,1999.0,BCL2,0.91,0.3,BCL2 apoptosis regulator,0.98901,Abnormality of the cardiovascular system (01626),1999.0,80,301,1,19,371,0,"R-HSA-1266738,R-HSA-162582,R-HSA-168256,R-HSA-5357801,R-HSA-8953897","Developmental Biology,Signal Transduction,Immune System,Programmed Cell Death,Cellular responses to stimuli",Signaling,0.65,Disease or Syndrome (T047),disease,"P10415,A0A7I2V3S7",C0020538,ENSG00000171791,596,protein-coding,0,2,1
